# timestamp tx ty tz qx qy qz qw
0.000000 0.064422 0.018641 1.000000 0.00022876 0.01946834 0.01174741 0.99974143
0.033333 0.072109 0.023097 1.032107 -0.00043655 0.02029575 0.01214234 0.99972019
0.066667 0.079582 0.027423 1.064214 -0.00110123 0.02111715 0.01251694 0.99969804
0.100000 0.086826 0.031565 1.096321 -0.00176484 0.02193222 0.01287052 0.99967505
0.133333 0.093829 0.035470 1.128428 -0.00242695 0.02274065 0.01320247 0.99965127
0.166667 0.100578 0.039088 1.160535 -0.00308711 0.02354213 0.01351221 0.99962676
0.200000 0.107062 0.042372 1.192642 -0.00374490 0.02433635 0.01379917 0.99960157
0.233333 0.113268 0.045277 1.224749 -0.00439988 0.02512300 0.01406287 0.99957577
0.266667 0.119188 0.047766 1.256856 -0.00505163 0.02590177 0.01430283 0.99954940
0.300000 0.124811 0.049802 1.288963 -0.00569973 0.02667236 0.01451862 0.99952254
0.333333 0.130131 0.051358 1.321070 -0.00634375 0.02743446 0.01470986 0.99949524
0.366667 0.135138 0.052410 1.353177 -0.00698326 0.02818778 0.01487622 0.99946755
0.400000 0.139827 0.052941 1.385284 -0.00761785 0.02893201 0.01501740 0.99943954
0.433333 0.144191 0.052938 1.417391 -0.00824711 0.02966686 0.01513315 0.99941125
0.466667 0.148227 0.052398 1.449498 -0.00887062 0.03039203 0.01522326 0.99938275
0.500000 0.151931 0.051323 1.481605 -0.00948797 0.03110725 0.01528758 0.99935409
0.533333 0.155299 0.049719 1.513712 -0.01009875 0.03181224 0.01532598 0.99932533
0.566667 0.158331 0.047603 1.545819 -0.01070256 0.03250670 0.01533839 0.99929650
0.600000 0.161025 0.044995 1.577926 -0.01129899 0.03319037 0.01532479 0.99926767
0.633333 0.163381 0.041922 1.610033 -0.01188766 0.03386299 0.01528521 0.99923888
0.666667 0.165401 0.038416 1.642140 -0.01246816 0.03452429 0.01521971 0.99921018
0.700000 0.167087 0.034516 1.674247 -0.01304010 0.03517402 0.01512839 0.99918160
0.733333 0.168442 0.030264 1.706355 -0.01360310 0.03581193 0.01501143 0.99915320
0.766667 0.169469 0.025707 1.738462 -0.01415677 0.03643777 0.01486902 0.99912501
0.800000 0.170175 0.020895 1.770569 -0.01470074 0.03705131 0.01470141 0.99909707
0.833333 0.170564 0.015882 1.802676 -0.01523462 0.03765233 0.01450890 0.99906942
0.866667 0.170643 0.010724 1.834783 -0.01575805 0.03824060 0.01429181 0.99904208
0.900000 0.170420 0.005479 1.866890 -0.01627066 0.03881591 0.01405053 0.99901510
0.933333 0.169904 0.000205 1.898997 -0.01677209 0.03937805 0.01378548 0.99898850
0.966667 0.169103 -0.005038 1.931104 -0.01726199 0.03992682 0.01349712 0.99896231
1.000000 0.168028 -0.010193 1.963211 -0.01773999 0.04046205 0.01318597 0.99893656
1.033333 0.166688 -0.015203 1.995318 -0.01820576 0.04098353 0.01285255 0.99891126
