# timestamp tx ty tz qx qy qz qw
0.000000 1.575779 -0.000264 0.011499 0.01012701 -0.33485273 -0.00112322 0.94221539
0.033333 1.574523 0.001855 0.035794 0.01072357 -0.34351944 -0.00018076 0.93908432
0.066667 1.572654 0.003869 0.060126 0.01127709 -0.35213249 0.00074065 0.93588193
0.100000 1.570181 0.005764 0.084483 0.01178487 -0.36069387 0.00163750 0.93260837
0.133333 1.567112 0.007528 0.108849 0.01224440 -0.36920502 0.00250661 0.92926393
0.166667 1.563450 0.009148 0.133209 0.01265338 -0.37766686 0.00334510 0.92584904
0.200000 1.559202 0.010615 0.157544 0.01300971 -0.38607989 0.00415045 0.92236427
0.233333 1.554369 0.011920 0.181839 0.01331153 -0.39444415 0.00492046 0.91881032
0.266667 1.548952 0.013054 0.206075 0.01355719 -0.40275940 0.00565327 0.91518802
0.300000 1.542951 0.014013 0.230234 0.01374530 -0.41102510 0.00634735 0.91149830
0.333333 1.536363 0.014792 0.254299 0.01387468 -0.41924056 0.00700149 0.90774216
0.366667 1.529187 0.015388 0.278252 0.01394442 -0.42740499 0.00761481 0.90392065
0.400000 1.521416 0.015800 0.302077 0.01395385 -0.43551760 0.00818671 0.90003483
0.433333 1.513048 0.016028 0.325759 0.01390253 -0.44357768 0.00871687 0.89608570
0.466667 1.504076 0.016074 0.349284 0.01379028 -0.45158467 0.00920524 0.89207420
0.500000 1.494494 0.015942 0.372639 0.01361716 -0.45953824 0.00965201 0.88800114
0.533333 1.484298 0.015636 0.395812 0.01338345 -0.46743834 0.01005758 0.88386714
0.566667 1.473481 0.015164 0.418794 0.01308968 -0.47528527 0.01042252 0.87967263
0.600000 1.462040 0.014531 0.441577 0.01273660 -0.48307968 0.01074759 0.87541778
0.633333 1.449970 0.013748 0.464155 0.01232519 -0.49082262 0.01103363 0.87110246
0.666667 1.437269 0.012825 0.486522 0.01185664 -0.49851552 0.01128161 0.86672627
0.700000 1.423936 0.011772 0.508676 0.01133235 -0.50616021 0.01149254 0.86228843
0.733333 1.409971 0.010601 0.530614 0.01075394 -0.51375887 0.01166745 0.85778788
0.766667 1.395376 0.009325 0.552337 0.01012322 -0.52131403 0.01180738 0.85322317
0.800000 1.380156 0.007957 0.573844 0.00944223 -0.52882848 0.01191333 0.84859257
0.833333 1.364317 0.006512 0.595136 0.00871319 -0.53630524 0.01198624 0.84389401
0.866667 1.347866 0.005004 0.616216 0.00793855 -0.54374746 0.01202696 0.83912516
0.900000 1.330815 0.003447 0.637085 0.00712093 -0.55115838 0.01203626 0.83428344
0.933333 1.313175 0.001856 0.657745 0.00626320 -0.55854124 0.01201474 0.82936608
0.966667 1.294961 0.000245 0.678197 0.00536839 -0.56589917 0.01196292 0.82437018
1.000000 1.276189 -0.001370 0.698442 0.00443977 -0.57323511 0.01188114 0.81929277
1.033333 1.256876 -0.002977 0.718481 0.00348079 -0.58055176 0.01176961 0.81413084
1.066667 1.237041 -0.004560 0.738310 0.00249512 -0.58785145 0.01162840 0.80888146
1.100000 1.216704 -0.006107 0.757928 0.00148663 -0.59513613 0.01145744 0.80354185
1.133333 1.195887 -0.007606 0.777329 0.00045936 -0.60240721 0.01125653 0.79810941
1.166667 1.174610 -0.009043 0.796506 -0.00058245 -0.60966562 0.01102537 0.79258182
1.200000 1.152894 -0.010410 0.815451 -0.00163440 -0.61691166 0.01076357 0.78695710
1.233333 1.130762 -0.011694 0.834153 -0.00269192 -0.62414507 0.01047065 0.78123367
1.266667 1.108234 -0.012889 0.852599 -0.00375032 -0.63136494 0.01014610 0.77541041
1.300000 1.085328 -0.013984 0.870772 -0.00480480 -0.63856977 0.00978939 0.76948667
1.333333 1.062065 -0.014974 0.888654 -0.00585045 -0.64575747 0.00939999 0.76346231
1.366667 1.038461 -0.015853 0.906227 -0.00688232 -0.65292540 0.00897740 0.75733775
1.400000 1.014531 -0.016617 0.923467 -0.00789543 -0.66007043 0.00852117 0.75111389
1.433333 0.990287 -0.017262 0.940352 -0.00888482 -0.66718903 0.00803096 0.74479216
1.466667 0.965742 -0.017785 0.956856 -0.00984556 -0.67427730 0.00750651 0.73837446
1.500000 0.940903 -0.018187 0.972953 -0.01077280 -0.68133114 0.00694769 0.73186307
1.533333 0.915777 -0.018466 0.988614 -0.01166184 -0.68834630 0.00635454 0.72526064
1.566667 0.890366 -0.018625 1.003814 -0.01250811 -0.69531851 0.00572722 0.71857005
1.600000 0.864671 -0.018665 1.018523 -0.01330727 -0.70224357 0.00506612 0.71179436
1.633333 0.838690 -0.018590 1.032715 -0.01405520 -0.70911750 0.00437178 0.70493667
1.666667 0.812419 -0.018404 1.046361 -0.01474806 -0.71593660 0.00364497 0.69800000
